Michael Pineda, 9.859960514361688, 8.624933079531258, SP
Josh Osich, 3.5186295827232335, 0.7331193117601569, RP
Joe Smith, 3.7677230343851296, 3.4499732318125034, RP
Julio Teheran, 17.68094405293307, 7.762439771578133, SP
Craig Stammen, 4.521445304267922, 3.8812198857890663, RP
Kevin Gausman, 5.833026815266308, 7.762439771578133, SP
Blake Treinen, 3.768036363848597, 8.624933079531258, RP
Rick Porcello, 11.365062894689139, 8.624933079531258, SP
Dellin Betances, 21.097473984440608, 9.056179733507822, RP
Daniel Hudson, 5.1412144548008545, 4.743713193742192, RP
Wade Miley, 8.68806318766406, 6.468699809648443, SP
Jordan Lyles, 9.40338654122204, 6.899946463625007, SP
Jake Diekman, 4.788832509673586, 3.2343499048242217, RP
Jake Odorizzi, 18.51326211109865, 15.35238088156564, SP
Stephen Strasburg, 26.837745266694338, 30.187265778359404, SP
Zack Wheeler, 19.6410075408171, 20.35484206769377, SP
Madison Bumgarner, 20.245658761724897, 14.662386235203138, SP
Hyun-Jin Ryu, 19.29238554925144, 17.249866159062517, SP
Dallas Keuchel, 5.69472266932265, 15.956126197132829, SP
Will Smith, 9.462481693160086, 11.212413003390635, RP
Drew Pomeranz, 5.389914725723275, 7.331193117601569, SP
Kyle Gibson, 11.015909284573967, 8.624933079531258, SP
Will Harris, 6.894828327218858, 6.899946463625007, RP
Tanner Roark, 9.812332700017354, 10.34991969543751, SP
Gerrit Cole, 40.20492004227116, 31.04975908631253, SP
Jeremy Jeffress, 3.46463449706589, 0.6899946463625006, RP
Homer Bailey, 5.909460977430633, 6.037453155671881, SP
Martin Perez, 5.492592183337454, 5.174959847718755, SP
Tommy Hunter, 5.991985535287894, 0.7331193117601569, RP
Ivan Nova, 5.807592447960364, 1.2937399619296888, SP
Yoshihisa Hirano, 3.401430476208026, 1.3799892927250013, RP
Alex Claudio, 3.679422278247052, 1.5093632889179702, RP
Tyler Anderson, 2.7257289786258965, 1.5309256216167981, SP
T.J. McFarland, 2.6588856490690893, 1.5524879543156263, RP
Pedro Strop, 3.345544998386052, 1.5740502870144546, RP
Taijuan Walker, 4.936283098514803, 1.7249866159062517, SP
Brad Brach, 2.984379412897872, 0.9056179733507821, RP
Junior Guerra, 4.96651461802181, 2.199357935280471, RP
Steve Cishek, 4.93168904629837, 5.174959847718755, RP
Darren O'Day, 4.072811325399185, 2.371856596871096, RP
Michael Wacha, 4.834718351072826, 2.5874799238593775, SP
Hector Rondon, 4.065998796427565, 2.5874799238593775, RP
Brandon Kintzler, 3.706040527514684, 2.5874799238593775, RP
Cole Hamels, 9.227288439164198, 15.524879543156265, SP
Alex Wood, 3.815205901304536, 3.4499732318125034, SP
Drew Smyly, 4.18067824800525, 3.4499732318125034, SP
Adam Wainwright, 5.133928893813751, 4.312466539765629, SP
Sergio Romo, 3.7529305855045942, 4.312466539765629, RP
Gio Gonzalez, 4.939484093144353, 4.312466539765629, SP
Brett Anderson, 5.418664656880868, 4.312466539765629, SP
Tyler Clippard, 6.728893903879027, 2.371856596871096, RP
Rich Hill, 4.790327117252785, 2.5874799238593775, SP
Anthony Rendon, 23.68047789024578, 30.187265778359404, 3B
Marco Hernandez, 2.379202215106801, 0.5606206501695317, 3B
Justin Smoak, 2.584992840558594, 4.312466539765629, 1B
Todd Frazier, 3.172061157668829, 4.312466539765629, 3B
Robinson Chirinos, 4.78603163937273, 4.743713193742192, C
Jonathan Schoop, 3.6320201305523057, 5.261209178514067, 2B
C.J. Cron, 4.6768836245559235, 5.261209178514067, 1B
Howie Kendrick, 2.783058723005238, 5.390583174707037, DH
Cesar Hernandez, 3.569871535255595, 5.390583174707037, 2B
Wilmer Flores, 3.3599373229378933, 2.6952915873535184, 2B
Jason Castro, 2.2693971631602303, 5.908079159478911, C
Martin Maldonado, 3.337301222086848, 3.0187265778359405, C
Edwin Encarnacion, 4.20460064875895, 10.34991969543751, DH
Starlin Castro, 3.661789033427657, 5.174959847718755, 2B
Brett Gardner, 6.2594204778694325, 10.781166349414073, LF
Didi Gregorius, 6.842929337556732, 12.074906311343762, SS
Travis d'Arnaud, 4.054087069123894, 6.899946463625007, C
Kole Calhoun, 6.188236537102653, 6.899946463625007, RF
Matt Joyce, 2.4870413633559934, 7.546816444589851, RF
Corey Dickerson, 5.28005412506296, 7.546816444589851, LF
Marcell Ozuna, 16.960818122494953, 15.524879543156265, LF
Avisail Garcia, 8.064796204062503, 8.624933079531258, RF
Jose Abreu, 13.241806349776105, 14.374888465885428, 1B
Mike Moustakas, 6.737700110904898, 13.799892927250013, 2B
Nicholas Castellanos, 15.354075049218451, 13.799892927250013, RF
Yasmani Grandal, 16.67742681189019, 15.740502870144546, C
Josh Donaldson, 11.147224707969595, 19.837346082921893, 3B
Eric Sogard, 2.2694171259792326, 3.8812198857890663, 2B
Jesse Hahn, 0.9305993862728019, 0.5174959847718755, RP
Alex Avila, 2.2675215261226884, 3.6655965588007846, C
Tyler Flowers, 3.868876374165932, 3.4499732318125034, C
J.T. Riddle, 1.6694363367692666, 0.7331193117601569, SS
Kevin Plawecki, 2.695543460397459, 0.7762439771578131, C
Luke Maile, 2.58315105351849, 0.7762439771578131, C
Steven Souza Jr., 6.3416256306226595, 0.8624933079531258, RF
Hernan Perez, 1.4887363709571209, 0.8624933079531258, 2B
Jason Kipnis, 2.193042852271915, 0.8624933079531258, 2B
Guillermo Heredia, 2.4489271341891246, 0.8624933079531258, CF
Adeiny Hechavarria, 1.308200447440253, 0.8624933079531258, 2B
Domingo Santana, 5.338275252708177, 1.2937399619296888, LF
